product_id,product_name,category,subcategory,price,cost,stock_quantity,is_active,tags,created_at
324,Chapéu Sony,fashion,chapéu,2002.67,982.6,299,true,novo;destaque,2024-04-05
329,Blazer Tramontina,fashion,blazer,1194.88,570.67,93,true,tramontina;fashion;blazer;destaque,2024-03-19
381,Tapete Mondial,home,tapete,7676.78,5031.49,236,true,destaque;mondial;tapete,2024-01-26
359,Mesa Jantar LG,home,mesa_jantar,5934.13,3452.76,214,true,promoção;mesa;destaque,2024-04-25
2,Smartphone Tramontina,electronics,smartphone,2132.01,1237.86,359,false,promoção;novo,2024-03-12
372,Luminária Mondial,home,luminária,4884.54,2368.26,-6,false,mondial;luminária;home,2024-03-23
145,Mouse Gamer Adidas,games,mouse_gamer,6609.06,3889.28,170,true,mouse;novo,2024-03-27
365,Cadeira Apple,home,cadeira,6251.05,2588.52,403,true,apple;oferta;cadeira;home,2024-04-23
115,Jogo Xbox Samsung,games,jogo_xbox,-53.79,487.04,80,true,destaque;jogo;novo,2024-01-22
229,Raquete Tênis JBL,sports,raquete_tênis,3022.95,1771.62,171,false,novo;sports;raquete;oferta,2024-02-21
47,Câmera LG,electronics,câmera,2369.43,1123.52,266,false,electronics;câmera;promoção;lg,2024-03-14
274,Vestido Apple,fashion,vestido,7237.06,4445.05,127,false,vestido;oferta;apple;destaque,2024-01-31
511,Didático Samsung,books,didático,6906.52,4307.36,327,true,books;oferta;didático,2024-03-11
117,Jogo Xbox Electrolux,games,jogo_xbox,3756.47,1745.52,-2,true,destaque;novo;promoção;jogo,2024-01-12
394,Quadro Oster,home,quadro,3760.32,1876.65,245,true,home;destaque;promoção;oster,2024-03-03
544,Kit Maquiagem Adidas,beauty,kit_maquiagem,5766.41,3902.76,462,true,beauty;adidas;kit,2024-01-16
453,Biografia Electrolux,books,biografia,3328.44,1936.44,-6,false,promoção;destaque,2024-01-16
358,Mesa Jantar Multilaser,home,mesa_jantar,8420.07,5486.9,471,true,novo;home;destaque;multilaser,2024-04-09
371,Luminária Sony,home,luminária,2200.8,1304.37,20,true,oferta;sony;promoção,2024-03-06
209,Luvas Adidas,sports,luvas,8232.34,4208.47,113,true,luvas;novo,2024-05-29
399,Vaso Dell,home,vaso,7905.0,4422.29,337,true,novo;dell;promoção;oferta,2024-04-04
596,Escova Tramontina,beauty,escova,2769.66,1572.57,1,true,escova;destaque;promoção,2024-02-01
597,Escova Apple,beauty,escova,5900.94,3940.68,352,true,apple;escova,2024-05-06
572,Base Dell,beauty,base,6789.28,4127.53,183,true,destaque;dell,2024-01-05
43,Câmera Adidas,electronics,câmera,8855.24,5165.99,453,true,destaque;promoção;oferta;novo,2024-03-03
403,Vaso Intelbras,home,vaso,1003.72,529.78,274,false,vaso;novo;oferta;promoção,2024-02-22
112,Jogo PS5 Tramontina,games,jogo_ps5,3726.27,2467.1,468,true,novo;jogo;destaque,2024-01-27
564,Batom Oster,beauty,batom,310.01,171.89,227,true,beauty;destaque;batom,2024-02-28
27,Smart TV Philips,electronics,smart_tv,2423.21,1647.73,189,true,promoção;novo,2024-03-18
202,Corda Multilaser,sports,corda,4714.63,2470.79,302,true,destaque;promoção;novo;oferta,2024-01-13
386,Cortina Nike,home,cortina,2405.61,1601.9,9,true,novo;promoção;oferta;home,2024-01-10
308,Óculos Sol Tramontina,fashion,óculos_sol,1719.65,710.88,428,true,tramontina;fashion;oferta;novo,2024-03-29
408,Almofada Nike,home,almofada,145.75,95.49,99,true,novo;oferta;home;destaque,2024-01-10
210,Luvas Philips,sports,luvas,5232.71,2748.6,194,true,novo;destaque;luvas,2024-03-06
375,Luminária Multilaser,home,luminária,388.95,164.13,36,true,promoção;oferta;destaque,2024-04-13
404,Vaso JBL,home,vaso,3747.92,2380.44,284,false,vaso;novo;oferta,2024-04-11
515,Culinária Apple,books,culinária,752.81,509.53,47,false,promoção;culinária,2024-04-29
560,Esmalte Brastemp,beauty,esmalte,4080.75,1925.2,305,true,promoção;novo;brastemp;esmalte,2024-03-30
97,Console Sony,games,console,8706.09,5583.88,7,true,sony;promoção;console;novo,2024-05-29
247,Prancha Surf Mondial,sports,prancha_surf,4621.15,2642.44,187,true,promoção;novo;sports;oferta,2024-01-27
462,Autoajuda Logitech,books,autoajuda,7383.82,3164.77,413,false,oferta;logitech,2024-03-26
397,Quadro Sony,home,quadro,7811.48,3524.31,406,true,destaque;novo;quadro;home,2024-03-28
448,Ficção Científica Brastemp,books,ficção_científica,3255.18,1433.65,224,true,destaque;promoção;books;novo,2024-05-19
331,Blazer LG,fashion,blazer,8500.54,3581.83,444,false,blazer;promoção;lg;fashion,2024-02-05
432,Aspirador Samsung,home,aspirador,7784.08,4204.63,280,false,destaque;novo,2024-02-15
112,Jogo PS5 Tramontina,games,jogo_ps5,3726.27,2467.1,468,true,novo;jogo;destaque,2024-01-27
334,Saia Logitech,fashion,saia,3659.91,2523.87,102,true,saia;novo,2024-02-18
524,Perfume Sony,beauty,perfume,122.56,85.29,150,true,novo;sony;destaque,2024-05-23
63,Mouse Adidas,electronics,mouse,3668.93,1735.37,283,true,destaque;novo;mouse,2024-03-31
73,Carregador Apple,electronics,carregador,8486.0,4668.5,20,false,carregador;novo;oferta;apple,2024-01-24
107,Jogo PS5 Sony,games,jogo_ps5,7632.46,4029.04,227,true,jogo;novo,2024-02-07
494,HQ DC Logitech,books,hq_dc,5675.62,3666.66,28,true,books;logitech,2024-05-27
571,Base Logitech,beauty,base,350.77,196.2,420,true,promoção;beauty;logitech,2024-05-22
521,Culinária Electrolux,books,culinária,5349.23,2882.55,90,true,electrolux;novo;oferta,2024-04-07
467,História Philips,books,história,5562.52,3452.66,397,false,destaque;novo;philips,2024-01-29
114,Jogo Xbox Oster,games,jogo_xbox,8296.83,4192.45,336,false,games;destaque,2024-01-08
458,Técnico Programação Apple,books,técnico_programação,5494.65,3126.14,474,true,promoção;oferta;destaque,2024-01-01
312,Óculos Sol Nike,fashion,óculos_sol,8974.56,5278.55,466,true,promoção;novo,2024-04-11
314,Óculos Sol JBL,fashion,óculos_sol,5120.41,2943.23,54,true,oferta;novo;óculos,2024-04-15
328,Blazer Dell,fashion,blazer,5762.23,3127.28,153,true,novo;fashion;blazer;dell,2024-04-30
75,Carregador Dell,electronics,carregador,1674.06,963.59,46,false,promoção;carregador;destaque,2024-01-27
368,Cadeira Puma,home,cadeira,3008.14,1843.71,165,true,novo;destaque;cadeira;promoção,2024-05-26
60,Mouse Tramontina,electronics,mouse,5511.82,2831.4,93,false,mouse;oferta,2024-03-28
565,Batom Nike,beauty,batom,7021.03,3495.35,445,true,beauty;nike;promoção,2024-05-29
341,Shorts LG,fashion,shorts,2579.87,1639.32,398,true,fashion;shorts;promoção;destaque,2024-02-11
343,Moletom Brastemp,fashion,moletom,721.51,445.22,233,true,promoção;brastemp;destaque,2024-02-14
398,Quadro Puma,home,quadro,8304.12,4807.75,67,true,home;novo,2024-05-09
352,Sandália Puma,fashion,sandália,4158.38,2662.94,228,true,promoção;destaque,2024-01-05
218,Bola Futebol Brastemp,sports,bola_futebol,5113.81,3361.76,21,true,oferta;destaque,2024-05-25
323,Chapéu Electrolux,fashion,chapéu,2052.44,1195.55,363,true,promoção;chapéu;oferta,2024-03-05
325,Chapéu JBL,fashion,chapéu,5074.44,2933.69,246,true,chapéu;destaque;oferta,2024-03-11
131,Headset Gamer Philips,games,headset_gamer,2820.38,1446.87,343,true,destaque;promoção;novo;headset,2024-01-05
7,Tablet Adidas,electronics,tablet,2465.69,1670.79,166,true,oferta;adidas,2024-03-21
283,Jaqueta Brastemp,fashion,jaqueta,4094.15,2206.76,413,true,destaque;novo;brastemp;fashion,2024-03-24
470,Fantasia Logitech,books,fantasia,2780.43,1505.21,108,true,novo;fantasia;oferta;promoção,2024-02-06
23,Smart TV Puma,electronics,smart_tv,8277.59,4629.97,435,true,novo;puma,2024-03-01
120,Jogo Xbox Mondial,games,jogo_xbox,7761.92,3203.27,-31,true,promoção;novo;oferta;destaque,2024-03-15
327,Blazer Adidas,fashion,blazer,2371.53,1246.4,362,true,destaque;oferta;fashion,2024-05-16
158,Mousepad Multilaser,games,mousepad,7123.03,2905.38,411,true,multilaser;oferta;mousepad;promoção,2024-05-02
58,Teclado Oster,electronics,teclado,4577.79,2299.74,54,false,destaque;promoção;electronics,2024-04-21
499,HQ DC Dell,books,hq_dc,6529.71,3796.59,218,true,novo;oferta;destaque,2024-03-31
53,Teclado Adidas,electronics,teclado,2540.05,1740.85,240,true,novo;adidas;teclado;electronics,2024-01-18
175,VR Headset Sony,games,vr_headset,5271.91,2378.44,-36,false,oferta;destaque,2024-03-03
434,Aspirador Mondial,home,aspirador,4004.15,2041.06,0,true,aspirador;promoção;novo,2024-01-03
84,Webcam Philips,electronics,webcam,8895.32,5672.71,493,true,novo;oferta,2024-03-25
246,Prancha Surf Brastemp,sports,prancha_surf,789.73,323.2,140,true,prancha;sports;promoção;novo,2024-05-20
152,Teclado Gamer Multilaser,games,teclado_gamer,4641.56,2900.83,434,false,games;multilaser,2024-03-01
480,Terror Adidas,books,terror,4014.39,2730.31,140,true,adidas;books,2024-02-17
311,Óculos Sol Electrolux,fashion,óculos_sol,8543.15,3845.69,21,false,destaque;promoção,2024-02-21
282,Jaqueta Electrolux,fashion,jaqueta,7029.63,4044.94,238,true,electrolux;novo;jaqueta,2024-02-23
74,Carregador LG,electronics,carregador,2098.57,1263.95,10,true,lg;electronics;promoção;novo,2024-03-12
457,Técnico Programação LG,books,técnico_programação,8984.98,4788.13,166,true,oferta;destaque;promoção,2024-03-23
496,HQ DC Samsung,books,hq_dc,7095.59,3215.9,476,true,oferta;hq,2024-03-23
540,Shampoo Multilaser,beauty,shampoo,5905.68,3055.28,375,true,shampoo;destaque;beauty;oferta,2024-05-20
26,Smart TV Brastemp,electronics,smart_tv,,2810.96,318,true,novo;electronics,2024-05-09
